time, Quad.IMU.AX
2.420007,0.534981
2.425007,0.311653
2.430006,0.576078
2.435006,-0.400234
2.440006,-0.193800
2.445005,0.185646
2.450005,-0.103419
2.455004,0.651278
2.460004,0.409223
2.465004,-0.928088
2.470003,-0.653804
2.475003,-0.419610
2.480003,0.202811
2.485002,0.090727
2.490002,-0.924700
2.495002,-0.222468
2.500001,0.034837
2.505001,0.260654
2.510000,-0.026724
2.515000,-0.413955
2.520000,-0.029552
2.524999,-0.487806
2.529999,0.219787
2.534999,-0.639344
2.539998,0.086719
2.544998,0.070973
2.549998,-0.294439
2.554997,-0.333558
2.559997,-0.171469
2.564996,-0.162925
2.569996,-0.998592
2.574996,0.091031
2.579995,-0.335277
2.584995,0.256366
2.589995,0.402691
2.594994,-0.866572
2.599994,0.470857
2.604994,0.718697
2.609993,0.479372
2.614993,1.230562
2.619992,-0.180702
2.624992,0.801224
2.629992,-0.384720
2.634991,-0.587068
2.639991,0.850357
2.644991,0.616384
2.649990,-0.006633
2.654990,-0.206503
2.659990,0.363632
2.664989,0.282715
2.669989,-0.126387
2.674989,0.718803
2.679988,-0.729739
2.684988,-0.666374
2.689987,0.292878
2.694987,-0.577880
2.699987,-0.023200
2.704986,-0.569846
2.709986,0.284501
2.714986,-0.745559
2.719985,0.444832
2.724985,-0.321110
2.729985,0.629836
2.734984,0.453914
2.739984,-0.046425
2.744983,-0.527039
2.749983,-0.027368
2.754983,0.452932
2.759982,-0.544989
2.764982,0.066338
2.769982,0.238411
2.774981,0.286998
2.779981,0.645535
2.784981,0.504109
2.789980,-0.197757
2.794980,-0.108111
2.799979,0.033712
2.804979,-0.179318
2.809979,-0.371487
2.814978,0.064882
2.819978,0.161357
2.824978,-0.489364
2.829977,0.764742
2.834977,0.262004
2.839977,0.571725
2.844976,0.821471
2.849976,-0.434640
2.854975,-0.133335
2.859975,-0.042600
2.864975,-0.922218
2.869974,0.715201
2.874974,-0.483574
2.879974,0.164382
2.884973,0.334469
2.889973,-0.279119
2.894973,-0.183600
2.899972,0.559244
2.904972,-0.044360
2.909971,0.761719
2.914971,0.247149
2.919971,0.263797
2.924970,0.174291
2.929970,-0.615729
2.934970,-0.214164
2.939969,-0.066671
2.944969,-0.295034
2.949969,0.191164
2.954968,0.197783
2.959968,-0.854138
2.964967,0.168256
2.969967,0.012419
2.974967,0.466640
2.979966,-0.263874
2.984966,-0.451534
2.989966,-0.156068
2.994965,0.978952
2.999965,-1.212543
3.004965,0.344860
3.009964,0.837170
3.014964,-0.277556
3.019964,-0.337940
3.024963,0.267009
3.029963,-0.216064
3.034962,-0.413501
3.039962,0.124200
3.044962,0.070781
3.049961,0.612261
3.054961,-0.262874
3.059961,-0.436651
3.064960,-0.055464
3.069960,0.290859
3.074960,0.136375
3.079959,-0.574186
3.084959,0.398540
3.089958,-0.046389
3.094958,-1.037251
3.099958,-0.503217
3.104957,-0.377918
3.109957,0.009943
3.114957,0.032124
3.119956,-0.848373
3.124956,0.037786
3.129956,0.869347
3.134955,0.944492
3.139955,-0.094396
3.144954,-0.769651
3.149954,-1.106178
3.154954,0.418759
3.159953,-0.065288
3.164953,-0.291786
3.169953,-0.565742
3.174952,-0.010045
3.179952,0.146547
3.184952,-0.721725
3.189951,-0.351645
3.194951,0.789624
3.199950,-0.311371
3.204950,-0.457875
3.209950,0.651803
3.214949,0.295798
3.219949,-0.616939
3.224949,0.201774
3.229948,0.153041
3.234948,0.433065
3.239948,-0.504762
3.244947,-0.044973
3.249947,0.186548
3.254946,-0.183577
3.259946,-0.012414
3.264946,-0.688191
3.269945,-0.545404
3.274945,0.619389
3.279945,-0.897374
3.284944,-0.254441
3.289944,-0.146571
3.294944,-0.258702
3.299943,-0.299702
3.304943,-0.245721
3.309942,0.040379
3.314942,0.713718
3.319942,-1.014252
3.324941,0.007382
3.329941,0.796471
3.334941,-0.196619
3.339940,-0.580544
3.344940,0.052030
3.349940,-0.187309
3.354939,-0.431432
3.359939,-0.743170
3.364938,-0.071294
3.369938,-0.530779
3.374938,0.300386
